Series id,Year,Period,Value,Duration Index
LNU03034472Q,2000,Q01,13,100.00
LNU03034472Q,2000,Q02,13.5,103.85
LNU03034472Q,2000,Q03,10.6,81.54
LNU03034472Q,2000,Q04,14.5,111.54
LNU03034472Q,2001,Q01,13.3,102.31
LNU03034472Q,2001,Q02,12.2,93.85
LNU03034472Q,2001,Q03,12.6,96.92
LNU03034472Q,2001,Q04,14.9,114.62
LNU03034472Q,2002,Q01,16.6,127.69
LNU03034472Q,2002,Q02,19.8,152.31
LNU03034472Q,2002,Q03,20.8,160.00
LNU03034472Q,2002,Q04,22.3,171.54
LNU03034472Q,2003,Q01,24.5,188.46
LNU03034472Q,2003,Q02,26.7,205.38
LNU03034472Q,2003,Q03,25.2,193.85
LNU03034472Q,2003,Q04,25,192.31
LNU03034472Q,2004,Q01,27.7,213.08
LNU03034472Q,2004,Q02,30.9,237.69
LNU03034472Q,2004,Q03,23.3,179.23
LNU03034472Q,2004,Q04,24.9,191.54
LNU03034472Q,2005,Q01,26,200.00
LNU03034472Q,2005,Q02,21.7,166.92
LNU03034472Q,2005,Q03,21.5,165.38
LNU03034472Q,2005,Q04,21.3,163.85
LNU03034472Q,2006,Q01,18.4,141.54
LNU03034472Q,2006,Q02,18.3,140.77
LNU03034472Q,2006,Q03,16.1,123.85
LNU03034472Q,2006,Q04,15.3,117.69
LNU03034472Q,2007,Q01,18.3,140.77
LNU03034472Q,2007,Q02,19.5,150.00
LNU03034472Q,2007,Q03,20,153.85
LNU03034472Q,2007,Q04,18.8,144.62
LNU03034472Q,2008,Q01,20.3,156.15
LNU03034472Q,2008,Q02,20.5,157.69
LNU03034472Q,2008,Q03,19.9,153.08
LNU03034472Q,2008,Q04,20.4,156.92
LNU03034472Q,2009,Q01,19.4,149.23
LNU03034472Q,2009,Q02,23.4,180.00
LNU03034472Q,2009,Q03,26.7,205.38
LNU03034472Q,2009,Q04,31,238.46
LNU03034472Q,2010,Q01,37.8,290.77
LNU03034472Q,2010,Q02,41.3,317.69
LNU03034472Q,2010,Q03,41.8,321.54
LNU03034472Q,2010,Q04,43.1,331.54
LNU03034472Q,2011,Q01,46.5,357.69
LNU03034472Q,2011,Q02,49.3,379.23
LNU03034472Q,2011,Q03,50.2,386.15
LNU03034472Q,2011,Q04,47.2,363.08
LNU03034472Q,2012,Q01,47.1,362.31
LNU03034472Q,2012,Q02,53.2,409.23
LNU03034472Q,2012,Q03,47.2,363.08
LNU03034472Q,2012,Q04,46.7,359.23
LNU03034472Q,2013,Q01,48.4,372.31
LNU03034472Q,2013,Q02,42.4,326.15
LNU03034472Q,2013,Q03,41,315.38
LNU03034472Q,2013,Q04,41.5,319.23
LNU03034472Q,2014,Q01,37.9,291.54
LNU03034472Q,2014,Q02,36.9,283.85
LNU03034472Q,2014,Q03,32.9,253.08
LNU03034472Q,2014,Q04,36.4,280.00
LNU03034472Q,2015,Q01,43.6,335.38
LNU03034472Q,2015,Q02,31.3,240.77
LNU03034472Q,2015,Q03,24.9,191.54
LNU03034472Q,2015,Q04,27.5,211.54
LNU03034472Q,2016,Q01,28.1,216.15
LNU03034472Q,2016,Q02,25.1,193.08
LNU03034472Q,2016,Q03,28.5,219.23
LNU03034472Q,2016,Q04,33.3,256.15
LNU03034472Q,2017,Q01,26.3,202.31
LNU03034472Q,2017,Q02,26.3,202.31
LNU03034472Q,2017,Q03,27.7,213.08
LNU03034472Q,2017,Q04,30.1,231.54
LNU03034472Q,2018,Q01,22.7,174.62
LNU03034472Q,2018,Q02,28.6,220.00
LNU03034472Q,2018,Q03,22.8,175.38
LNU03034472Q,2018,Q04,24.4,187.69
LNU03034472Q,2019,Q01,19.5,150.00
LNU03034472Q,2019,Q02,20.6,158.46
LNU03034472Q,2019,Q03,20.8,160.00
LNU03034472Q,2019,Q04,24.1,185.38
LNU03034472Q,2020,Q01,19.5,150.00
LNU03034472Q,2020,Q02,9.2,70.77
LNU03034472Q,2020,Q03,19.9,153.08
LNU03034472Q,2020,Q04,24.4,187.69
LNU03034472Q,2021,Q01,27.1,208.46
LNU03034472Q,2021,Q02,29.3,225.38
LNU03034472Q,2021,Q03,28.2,216.92
LNU03034472Q,2021,Q04,35.8,275.38
LNU03034472Q,2022,Q01,31.8,244.62
LNU03034472Q,2022,Q02,22.6,173.85
LNU03034472Q,2022,Q03,25,192.31
LNU03034472Q,2022,Q04,22.6,173.85
LNU03034472Q,2023,Q01,16.1,123.85
LNU03034472Q,2023,Q02,23,176.92
LNU03034472Q,2023,Q03,19.3,148.46
LNU03034472Q,2023,Q04,21.7,166.92
LNU03034472Q,2024,Q01,17.2,132.31
LNU03034472Q,2024,Q02,19.7,151.54
