Date,Mfg Labor Productivity
3/1/2000,146.6433573
6/1/2000,146.6560168
9/1/2000,146.6814577
12/1/2000,146.7199272
3/1/2001,146.7718054
6/1/2001,146.8965015
9/1/2001,147.0969612
12/1/2001,147.3760615
3/1/2002,147.7366435
6/1/2002,148.1036444
9/1/2002,148.4741542
12/1/2002,148.8450115
3/1/2003,149.2128844
6/1/2003,149.5539411
9/1/2003,149.8657967
12/1/2003,150.146405
3/1/2004,150.3941046
6/1/2004,150.5881462
9/1/2004,150.7309172
12/1/2004,150.8240277
3/1/2005,150.8683883
6/1/2005,150.9445844
9/1/2005,151.0519032
12/1/2005,151.1892112
3/1/2006,151.3549949
6/1/2006,151.5352269
9/1/2006,151.7307204
12/1/2006,151.9423961
3/1/2007,152.1712974
6/1/2007,152.346555
9/1/2007,152.4685724
12/1/2007,152.5374836
3/1/2008,152.5531736
6/1/2008,152.6341852
9/1/2008,152.783852
12/1/2008,153.0086448
3/1/2009,153.31906
6/1/2009,153.649423
9/1/2009,153.9928841
12/1/2009,154.3370862
3/1/2010,154.6653656
6/1/2010,154.8756221
9/1/2010,154.9743003
12/1/2010,154.9652355
3/1/2011,154.8499781
6/1/2011,154.7308033
9/1/2011,154.6079209
12/1/2011,154.4815466
3/1/2012,154.3519013
6/1/2012,154.2926656
9/1/2012,154.3030677
12/1/2012,154.3821704
3/1/2013,154.5288855
6/1/2013,154.6181968
9/1/2013,154.6510535
12/1/2013,154.6282025
3/1/2014,154.5502051
6/1/2014,154.4832282
9/1/2014,154.4272411
12/1/2014,154.3821743
3/1/2015,154.3479205
6/1/2015,154.3232953
9/1/2015,154.3081299
12/1/2015,154.3023092
3/1/2016,154.3057686
6/1/2016,154.3103348
9/1/2016,154.3160612
12/1/2016,154.3228465
3/1/2017,154.3304391
6/1/2017,154.3675598
9/1/2017,154.4334932
12/1/2017,154.5274936
3/1/2018,154.6487926
6/1/2018,154.7103582
9/1/2018,154.7136247
12/1/2018,154.6599521
3/1/2019,154.5506359
6/1/2019,154.5058932
9/1/2019,154.5246599
12/1/2019,154.6080789
3/1/2020,154.7596447
6/1/2020,154.9063849
9/1/2020,155.0455393
12/1/2020,155.1729438
3/1/2021,155.2834188
6/1/2021,155.3050972
9/1/2021,155.2427551
12/1/2021,155.0996047
3/1/2022,154.8774673
6/1/2022,154.7307858
9/1/2022,154.6575208
12/1/2022,154.6565513
3/1/2023,154.7276262
6/1/2023,154.7810071
9/1/2023,154.8166301
12/1/2023,154.8344524
