Year,    Manufacturing,        Durable goods,            Wood products,            Nonmetallic mineral products,            Primary metals,            Fabricated metal products,            Machinery,            Computer and electronic products,"            Electrical equipment, appliances, and components","            Motor vehicles, bodies and trailers, and parts",            Other transportation equipment,            Furniture and related products,            Miscellaneous manufacturing,        Nondurable goods,            Food and beverage and tobacco products,            Textile mills and textile product mills,            Apparel and leather and allied products,            Paper products,            Printing and related support activities,            Petroleum and coal products,            Chemical products,            Plastics and rubber products
2000,1641065,754765,31718,59605,47854,164936,141986,55613,54459,104971,105778,42298,62367,916823,231249,28633,20023,76524,38310,102757,313008,75298
2001,1586107,714350,30637,58405,45501,147136,128508,55103,52070,95656,108650,38168,59127,912231,235293,25382,18067,66792,38686,123941,312118,70607
2002,1602647,731989,30886,57534,46543,140641,119907,61760,51957,107829,101279,37331,61780,905059,221808,24700,17019,68527,40435,107732,333106,69585
2003,1702774,792246,31000,59752,45108,147141,119837,80574,56141,118089,96061,36625,63350,938517,231739,20624,14989,67488,40935,143838,334276,72464
2004,1824252,848732,30322,64091,48454,153078,134390,94071,52453,121899,98261,39206,66994,1005488,236997,25478,14584,72072,41935,164350,361914,78447
2005,1877712,907222,33176,65571,44339,155919,144751,107612,52779,129099,113005,41272,70676,985508,235755,24218,14254,70123,42530,164073,345225,77749
2006,1982924,975432,32702,61387,40235,161419,154129,128735,60477,143791,117874,41797,75706,1016926,261319,23185,13524,74578,43256,143221,384641,72620
2007,2065456,1027358,34646,61625,39887,168172,161367,148809,56846,138630,138379,38268,77212,1044487,267177,22455,12554,70478,44257,146783,408455,74378
2008,2021152,1029832,32455,58128,41665,160282,164925,171427,60835,107323,137089,32591,82376,991712,253386,21036,12378,62780,43321,157890,371314,64517
2009,1841889,877223,27513,46691,40094,121100,131348,173810,50860,46872,132634,23780,83911,976352,261693,16226,10176,65696,37782,148799,367549,64162
2010,1950751,990195,29561,48128,40794,133914,148661,193191,52547,96872,136647,23987,87560,964159,250141,16392,11147,61380,38424,127184,390359,68266
2011,1964443,1061174,32802,50478,45322,142206,170659,199504,50576,122934,142413,24288,85146,903094,242687,14657,10860,58814,38699,106730,365599,66948
2012,1964569,1093718,33489,53360,53462,147337,173028,205245,51951,130308,139547,23817,84825,871248,238643,16110,10492,58482,38850,97978,346385,68788
2013,2030161,1120312,34212,56444,57870,146470,171464,209123,57067,138541,143454,25654,82420,909996,251825,17221,10551,60031,39963,106545,356920,69027
2014,2049232,1130198,30879,56513,56918,148227,168424,217710,53030,144731,145522,27073,83245,919208,254875,17970,10085,60942,40089,114776,350840,68684
2015,2064781,1139871,33595,56480,62683,141750,149705,232226,60057,144621,150759,28919,79535,925076,266279,17468,9681,62146,40171,112457,340215,75931
2016,2049338,1135406,35191,55345,66478,136712,136446,238261,55244,152512,147458,29098,83463,914010,258765,17633,9654,60584,40962,96508,352345,76754
2017,2109718,1178271,35688,58488,59778,144770,147642,248740,57627,159124,150911,28897,86607,931447,275264,17286,9449,55897,40608,110656,345084,77203
2018,2213031,1227629,33868,58280,59989,150736,156377,264518,57472,165713,158964,30296,91871,985229,274072,16366,9381,59485,41976,116050,387509,80084
2019,2223326,1241367,35100,60631,67024,149291,154200,272977,55328,167246,162119,29070,88858,981959,267240,16046,9764,62686,40671,132619,367929,81574
2020,2127060,1171720,36919,58968,71760,135270,138507,279071,52849,148003,137933,27348,87555,955683,267452,15031,9830,67540,35145,88135,386991,76852
2021,2248052,1249509,35806,61218,66363,136496,153921,302968,52869,169793,149900,28119,98034,999648,285465,15593,10330,64359,37428,105914,399010,74752
2022,2277757,1296970,34250,59776,80476,125543,161758,303020,50138,200811,167647,26593,102821,985406,307062,15078,10498,60169,34968,82341,412990,65758
2023,2290647,1319310,36885,54427,92533,121524,151679,298530,50793,223036,187083,22530,102712,978289,300897,14109,10468,56262,32304,83862,424212,60987
