lnee,lnprdty,urintensity,lnrw
930.582311,423.0572198,566.9880923,478.4493547
930.2877527,423.7087879,583.6870019,479.736228
929.6960203,424.0127894,556.4244507,480.377517
928.8018042,423.9723824,587.7534081,480.4039669
927.5969399,423.5871484,610.9611961,479.6361907
926.0653959,423.9570057,606.7754067,478.4202111
924.1921548,425.0736484,629.6652494,476.886002
921.9581072,426.9124266,659.7920299,474.9033199
919.3393518,429.4341153,687.7753699,472.4072862
916.9895937,431.8419733,697.1828067,469.7485608
914.9297913,434.1425894,696.2243464,466.8550959
913.1792976,436.3419416,701.6618652,463.780831
911.7553115,438.4454684,719.8980567,460.7423315
910.7115434,439.9473615,729.8942948,458.4635879
910.0601788,440.8738704,724.116569,456.5760072
909.8089733,441.240733,706.7397425,455.2449567
909.9609495,441.0540871,721.7965672,454.3817952
910.1029339,441.3904009,713.8674124,453.1661017
910.2349689,442.2444343,685.6376718,451.8713654
910.3570934,443.6030632,686.4534577,450.1932834
910.4693436,445.4459385,690.7755279,448.2530192
910.6100465,446.7740897,655.2599181,446.4968353
910.7790821,447.6074414,665.5808365,444.6573228
910.9763066,447.9581827,660.3028772,443.0149709
911.2015528,447.8313729,636.3569336,441.5925117
911.1832272,448.2736949,622.8061198,440.0069928
910.9211955,449.2776589,618.0047709,438.5902216
910.413534,450.8265474,610.3055116,437.5039804
909.6564815,452.8953217,649.4689862,435.8152476
909.0612852,454.3463005,644.5719819,434.29224
908.6308797,455.2055763,631.6911947,432.8320638
908.367413,455.4881878,640.9194138,431.4305461
908.2722106,455.1990152,657.6873387,429.984564
906.9212477,454.5831138,668.987162,429.1950898
904.2624982,453.634404,682.272013,428.9122846
900.1885879,452.3433479,698.7257533,429.9981059
894.5213714,450.696622,749.8694193,432.4608824
890.1003643,450.3445469,778.0720886,433.3866595
887.1101678,451.3007844,791.2625957,432.1340784
885.6867753,453.5284852,803.9150939,428.7952396
885.8982752,456.9448834,829.7201169,423.8908588
886.258829,459.3636762,814.9838854,420.2415937
886.7668294,460.8536366,808.5657377,418.0546033
887.4200352,461.4552228,812.6136186,416.7529862
888.215603,461.1843715,819.2202113,416.6072957
889.0549647,460.9422503,821.0268767,416.3726152
889.9369733,460.7290698,815.3450472,416.2550013
890.8604477,460.5450167,797.4064737,416.6765973
891.8241775,460.390253,795.9362958,416.6880471
892.5057511,460.3938567,793.1199957,416.50285
892.9108557,460.5558107,785.471798,415.8222409
893.0428291,460.8753477,781.5484263,414.8354165
892.9027516,461.3509622,783.6649453,413.6002551
892.9583704,461.7599046,762.7907032,413.0771081
893.2093596,462.1029811,754.553773,412.8055995
893.6542534,462.3808625,755.7671315,413.0127023
894.2904749,462.594088,726.4412423,413.8744303
894.854081,462.6307822,717.4502233,414.421261
895.346272,462.4911396,714.3143557,414.9945657
895.7680831,462.1744195,706.9874128,415.7533105
896.1203921,461.678933,738.3880135,416.5424656
896.2571969,461.2660127,684.4818674,416.5473018
896.1793808,460.9366943,664.1391025,416.7111465
895.8864418,460.6918113,671.5390659,416.9972523
895.3764815,460.5319873,685.7577152,417.2259076
895.0527223,460.4135567,669.8189136,416.6741231
894.9169834,460.336667,684.873643,416.5274753
894.9700314,460.3014141,688.0764277,416.1352918
895.2115665,460.307842,679.1405715,415.6981691
895.5342767,460.3941341,656.2564143,415.5917658
895.9373768,460.5600838,672.2644235,415.3146126
896.4198944,460.8052952,650.9463382,415.0143106
896.9806775,461.1291861,635.6534653,414.7677073
897.6393135,461.0358385,652.5029658,414.3374094
898.3938607,460.5240799,629.835716,414.0720038
899.2421307,459.5874367,615.1082398,413.7024387
900.1817097,458.2138578,604.0254711,413.3158084
900.2363633,457.3159976,602.1013641,413.1044493
899.4075477,456.9068854,610.4793232,413.4089715
897.6729777,456.9925486,625.202719,414.0603278
894.9845817,457.5717204,623.4410726,414.9459803
893.1528626,458.0833297,678.5163826,416.2228678
892.2266213,458.5283926,696.2482072,415.6829391
892.2313327,458.9077833,666.9876191,414.7822147
893.166866,459.2222397,682.1351717,412.7595487
894.2005634,459.2523653,710.418682,411.0900057
895.3293205,458.9984173,668.7861442,409.9855696
896.5498322,458.4582216,668.2862699,409.1215671
897.8586227,457.6271109,669.3628455,408.455126
898.7559039,456.9992131,625.6805147,407.136962
899.2525554,456.5784136,625.2360426,406.4480479
899.3545017,456.3673479,611.3704303,405.4590275
