Series,Year,Period,Value
CES3231100006,2000,M01,1236.7
CES3231100006,2000,M02,1234.8
CES3231100006,2000,M03,1231.6
CES3231100006,2000,M04,1237.8
CES3231100006,2000,M05,1233
CES3231100006,2000,M06,1226.5
CES3231100006,2000,M07,1234.4
CES3231100006,2000,M08,1223
CES3231100006,2000,M09,1218.3
CES3231100006,2000,M10,1221
CES3231100006,2000,M11,1220.4
CES3231100006,2000,M12,1227
CES3231100006,2001,M01,1226.4
CES3231100006,2001,M02,1228.3
CES3231100006,2001,M03,1229
CES3231100006,2001,M04,1231.2
CES3231100006,2001,M05,1230.4
CES3231100006,2001,M06,1230.4
CES3231100006,2001,M07,1220.7
CES3231100006,2001,M08,1211.6
CES3231100006,2001,M09,1212.7
CES3231100006,2001,M10,1211.9
CES3231100006,2001,M11,1214.7
CES3231100006,2001,M12,1210.1
CES3231100006,2002,M01,1212.4
CES3231100006,2002,M02,1210.2
CES3231100006,2002,M03,1211.4
CES3231100006,2002,M04,1207.7
CES3231100006,2002,M05,1200.3
CES3231100006,2002,M06,1201.4
CES3231100006,2002,M07,1193.7
CES3231100006,2002,M08,1189.3
CES3231100006,2002,M09,1195.2
CES3231100006,2002,M10,1198.9
CES3231100006,2002,M11,1203.4
CES3231100006,2002,M12,1199.7
CES3231100006,2003,M01,1205.1
CES3231100006,2003,M02,1202.4
CES3231100006,2003,M03,1197.1
CES3231100006,2003,M04,1192.9
CES3231100006,2003,M05,1189
CES3231100006,2003,M06,1188.4
CES3231100006,2003,M07,1189.5
CES3231100006,2003,M08,1189.8
CES3231100006,2003,M09,1193.7
CES3231100006,2003,M10,1192.9
CES3231100006,2003,M11,1180.9
CES3231100006,2003,M12,1183.6
CES3231100006,2004,M01,1177.3
CES3231100006,2004,M02,1177.1
CES3231100006,2004,M03,1177.4
CES3231100006,2004,M04,1179.9
CES3231100006,2004,M05,1182.6
CES3231100006,2004,M06,1174.4
CES3231100006,2004,M07,1183.1
CES3231100006,2004,M08,1180.5
CES3231100006,2004,M09,1178.4
CES3231100006,2004,M10,1179.2
CES3231100006,2004,M11,1174.5
CES3231100006,2004,M12,1173.5
CES3231100006,2005,M01,1171.5
CES3231100006,2005,M02,1171.1
CES3231100006,2005,M03,1174.4
CES3231100006,2005,M04,1169
CES3231100006,2005,M05,1172.2
CES3231100006,2005,M06,1171.9
CES3231100006,2005,M07,1175.3
CES3231100006,2005,M08,1170.6
CES3231100006,2005,M09,1166.7
CES3231100006,2005,M10,1163.5
CES3231100006,2005,M11,1169.6
CES3231100006,2005,M12,1169.3
CES3231100006,2006,M01,1169.4
CES3231100006,2006,M02,1171.3
CES3231100006,2006,M03,1167.4
CES3231100006,2006,M04,1172.9
CES3231100006,2006,M05,1169.7
CES3231100006,2006,M06,1170.8
CES3231100006,2006,M07,1173.5
CES3231100006,2006,M08,1172.4
CES3231100006,2006,M09,1180.4
CES3231100006,2006,M10,1176
CES3231100006,2006,M11,1179.5
CES3231100006,2006,M12,1168.9
CES3231100006,2007,M01,1179.1
CES3231100006,2007,M02,1179.3
CES3231100006,2007,M03,1181.7
CES3231100006,2007,M04,1177.3
CES3231100006,2007,M05,1183
CES3231100006,2007,M06,1187.2
CES3231100006,2007,M07,1194.1
CES3231100006,2007,M08,1183.8
CES3231100006,2007,M09,1179.3
CES3231100006,2007,M10,1178.8
CES3231100006,2007,M11,1182.6
CES3231100006,2007,M12,1194.3
CES3231100006,2008,M01,1195.8
CES3231100006,2008,M02,1194.6
CES3231100006,2008,M03,1195.2
CES3231100006,2008,M04,1186.4
CES3231100006,2008,M05,1184.6
CES3231100006,2008,M06,1181
CES3231100006,2008,M07,1178.2
CES3231100006,2008,M08,1175.6
CES3231100006,2008,M09,1177.8
CES3231100006,2008,M10,1179.1
CES3231100006,2008,M11,1182.6
CES3231100006,2008,M12,1172
CES3231100006,2009,M01,1164.6
CES3231100006,2009,M02,1162.5
CES3231100006,2009,M03,1156.7
CES3231100006,2009,M04,1163
CES3231100006,2009,M05,1160.8
CES3231100006,2009,M06,1159
CES3231100006,2009,M07,1156.6
CES3231100006,2009,M08,1161.6
CES3231100006,2009,M09,1164.9
CES3231100006,2009,M10,1164.7
CES3231100006,2009,M11,1162.9
CES3231100006,2009,M12,1156.1
CES3231100006,2010,M01,1145.5
CES3231100006,2010,M02,1150.8
CES3231100006,2010,M03,1150.9
CES3231100006,2010,M04,1150.7
CES3231100006,2010,M05,1154.2
CES3231100006,2010,M06,1155.2
CES3231100006,2010,M07,1154.6
CES3231100006,2010,M08,1156.7
CES3231100006,2010,M09,1151.1
CES3231100006,2010,M10,1146.2
CES3231100006,2010,M11,1155.9
CES3231100006,2010,M12,1159.1
CES3231100006,2011,M01,1160.5
CES3231100006,2011,M02,1160.2
CES3231100006,2011,M03,1160.1
CES3231100006,2011,M04,1164.8
CES3231100006,2011,M05,1161.6
CES3231100006,2011,M06,1153.1
CES3231100006,2011,M07,1162.4
CES3231100006,2011,M08,1156.8
CES3231100006,2011,M09,1158.1
CES3231100006,2011,M10,1159.9
CES3231100006,2011,M11,1154.3
CES3231100006,2011,M12,1152.5
CES3231100006,2012,M01,1155.8
CES3231100006,2012,M02,1156.1
CES3231100006,2012,M03,1162.7
CES3231100006,2012,M04,1161.1
CES3231100006,2012,M05,1166.7
CES3231100006,2012,M06,1170.2
CES3231100006,2012,M07,1176.4
CES3231100006,2012,M08,1179.8
CES3231100006,2012,M09,1182.7
CES3231100006,2012,M10,1182.2
CES3231100006,2012,M11,1171.7
CES3231100006,2012,M12,1163.6
CES3231100006,2013,M01,1166.5
CES3231100006,2013,M02,1168.7
CES3231100006,2013,M03,1167
CES3231100006,2013,M04,1170.8
CES3231100006,2013,M05,1170
CES3231100006,2013,M06,1168.7
CES3231100006,2013,M07,1165.3
CES3231100006,2013,M08,1163.2
CES3231100006,2013,M09,1166.8
CES3231100006,2013,M10,1170.9
CES3231100006,2013,M11,1174.4
CES3231100006,2013,M12,1178.2
CES3231100006,2014,M01,1178.4
CES3231100006,2014,M02,1180.6
CES3231100006,2014,M03,1180.1
CES3231100006,2014,M04,1179.3
CES3231100006,2014,M05,1174.3
CES3231100006,2014,M06,1169
CES3231100006,2014,M07,1169.7
CES3231100006,2014,M08,1172.6
CES3231100006,2014,M09,1173
CES3231100006,2014,M10,1173.4
CES3231100006,2014,M11,1179.2
CES3231100006,2014,M12,1181.5
CES3231100006,2015,M01,1185.9
CES3231100006,2015,M02,1185.5
CES3231100006,2015,M03,1187.9
CES3231100006,2015,M04,1183.8
CES3231100006,2015,M05,1184.1
CES3231100006,2015,M06,1189.9
CES3231100006,2015,M07,1198.9
CES3231100006,2015,M08,1184
CES3231100006,2015,M09,1183.2
CES3231100006,2015,M10,1193.3
CES3231100006,2015,M11,1199.1
CES3231100006,2015,M12,1198.7
CES3231100006,2016,M01,1206.7
CES3231100006,2016,M02,1201.4
CES3231100006,2016,M03,1200.6
CES3231100006,2016,M04,1200.8
CES3231100006,2016,M05,1200.7
CES3231100006,2016,M06,1215.3
CES3231100006,2016,M07,1223.8
CES3231100006,2016,M08,1220.5
CES3231100006,2016,M09,1217.4
CES3231100006,2016,M10,1220.2
CES3231100006,2016,M11,1221.1
CES3231100006,2016,M12,1225.1
CES3231100006,2017,M01,1231.9
CES3231100006,2017,M02,1243.8
CES3231100006,2017,M03,1242.3
CES3231100006,2017,M04,1249.2
CES3231100006,2017,M05,1249.8
CES3231100006,2017,M06,1247.7
CES3231100006,2017,M07,1250.6
CES3231100006,2017,M08,1255.5
CES3231100006,2017,M09,1259.4
CES3231100006,2017,M10,1259.5
CES3231100006,2017,M11,1262
CES3231100006,2017,M12,1267.7
CES3231100006,2018,M01,1263.3
CES3231100006,2018,M02,1262.9
CES3231100006,2018,M03,1263.7
CES3231100006,2018,M04,1263.7
CES3231100006,2018,M05,1271.8
CES3231100006,2018,M06,1276.3
CES3231100006,2018,M07,1279.8
CES3231100006,2018,M08,1281.1
CES3231100006,2018,M09,1279.6
CES3231100006,2018,M10,1277.8
CES3231100006,2018,M11,1276.5
CES3231100006,2018,M12,1272.7
CES3231100006,2019,M01,1276
CES3231100006,2019,M02,1275.3
CES3231100006,2019,M03,1280.1
CES3231100006,2019,M04,1280.6
CES3231100006,2019,M05,1280.4
CES3231100006,2019,M06,1285.3
CES3231100006,2019,M07,1288
CES3231100006,2019,M08,1291.1
CES3231100006,2019,M09,1298.4
CES3231100006,2019,M10,1304.2
CES3231100006,2019,M11,1311.6
CES3231100006,2019,M12,1307.2
CES3231100006,2020,M01,1302.4
CES3231100006,2020,M02,1303.8
CES3231100006,2020,M03,1296.8
CES3231100006,2020,M04,1228.8
CES3231100006,2020,M05,1248
CES3231100006,2020,M06,1257
CES3231100006,2020,M07,1257.3
CES3231100006,2020,M08,1273.9
CES3231100006,2020,M09,1274.6
CES3231100006,2020,M10,1279
CES3231100006,2020,M11,1283.2
CES3231100006,2020,M12,1284.7
CES3231100006,2021,M01,1285.6
CES3231100006,2021,M02,1284.3
CES3231100006,2021,M03,1289
CES3231100006,2021,M04,1285.7
CES3231100006,2021,M05,1283.3
CES3231100006,2021,M06,1284
CES3231100006,2021,M07,1285.9
CES3231100006,2021,M08,1285.9
CES3231100006,2021,M09,1286.6
CES3231100006,2021,M10,1295.4
CES3231100006,2021,M11,1301.9
CES3231100006,2021,M12,1305.1
CES3231100006,2022,M01,1307.6
CES3231100006,2022,M02,1311.9
CES3231100006,2022,M03,1314.3
CES3231100006,2022,M04,1318
CES3231100006,2022,M05,1324.1
CES3231100006,2022,M06,1328.9
CES3231100006,2022,M07,1331.4
CES3231100006,2022,M08,1330.2
CES3231100006,2022,M09,1337.3
CES3231100006,2022,M10,1335
CES3231100006,2022,M11,1336
CES3231100006,2022,M12,1338.8
CES3231100006,2023,M01,1344.5
CES3231100006,2023,M02,1345.8
CES3231100006,2023,M03,1347.8
CES3231100006,2023,M04,1352.2
CES3231100006,2023,M05,1351.7
CES3231100006,2023,M06,1346.3
CES3231100006,2023,M07,1344.4
CES3231100006,2023,M08,1347.2
CES3231100006,2023,M09,1347.4
CES3231100006,2023,M10,1352
CES3231100006,2023,M11,1351.8
CES3231100006,2023,M12,1351.7
CES3231100006,2024,M01,1355.9
CES3231100006,2024,M02,1355.8
CES3231100006,2024,M03,1358.6
CES3231100006,2024,M04,1362.3
CES3231100006,2024,M05,1366.3
CES3231100006,2024,M06,1371.8
CES3231100006,2024,M07,1374.6
