Date,prd,cplt,unint,rw
2000 Q1,68.550,81.108,35.000,92.441
2000 Q2,69.144,81.159,31.703,90.089
2000 Q3,69.214,79.984,30.034,91.352
2000 Q4,69.198,77.953,35.838,90.276
2001 Q1,69.128,75.380,42.236,89.999
2001 Q2,69.856,73.065,40.331,90.079
2001 Q3,69.686,70.527,51.655,89.719
2001 Q4,70.870,68.553,65.270,91.858
2002 Q1,73.205,69.028,84.838,91.347
2002 Q2,74.908,70.354,91.432,91.813
2002 Q3,76.859,71.109,82.581,91.835
2002 Q4,78.198,71.028,93.649,92.245
2003 Q1,79.517,71.072,110.027,91.945
2003 Q2,80.425,70.600,121.297,93.817
2003 Q3,82.705,71.592,109.811,95.057
2003 Q4,82.921,72.838,96.473,96.457
2004 Q1,82.221,73.536,110.250,93.389
2004 Q2,82.544,73.846,108.223,95.054
2004 Q3,82.904,74.465,85.588,97.041
2004 Q4,84.207,75.355,85.946,95.878
2005 Q1,85.711,76.323,83.797,95.837
2005 Q2,86.994,76.307,68.689,95.955
2005 Q3,87.307,76.112,65.223,95.513
2005 Q4,88.443,77.846,69.081,94.007
2006 Q1,88.495,77.931,56.554,96.124
2006 Q2,88.045,77.878,53.466,94.253
2006 Q3,88.579,77.594,51.804,93.161
2006 Q4,89.880,77.235,44.865,96.103
2007 Q1,91.318,77.587,59.365,96.886
2007 Q2,93.099,78.640,54.203,95.665
2007 Q3,93.937,78.268,50.581,95.462
2007 Q4,95.711,78.739,61.115,95.092
2008 Q1,95.730,78.782,67.541,94.103
2008 Q2,94.065,77.202,69.264,93.613
2008 Q3,92.689,74.184,80.493,93.617
2008 Q4,89.136,68.100,95.466,98.611
2009 Q1,86.634,61.531,154.628,97.578
2009 Q2,88.014,58.983,204.392,100.799
2009 Q3,93.193,61.564,224.595,100.068
2009 Q4,94.910,63.420,262.959,100.447
2010 Q1,96.456,65.613,306.486,96.777
2010 Q2,98.160,68.478,290.216,98.806
2010 Q3,99.063,70.080,262.818,98.794
2010 Q4,99.552,70.836,277.446,99.512
2011 Q1,100.516,72.058,302.608,99.885
2011 Q2,98.527,71.945,305.500,97.203
2011 Q3,100.148,72.928,284.216,97.683
2011 Q4,99.016,73.919,246.649,95.300
2012 Q1,99.602,75.403,250.986,97.265
2012 Q2,99.183,75.744,230.811,96.680
2012 Q3,99.065,75.108,229.791,96.193
2012 Q4,99.199,75.074,216.149,96.318
2013 Q1,100.390,75.473,214.054,94.923
2013 Q2,100.558,75.211,186.216,95.332
2013 Q3,100.696,75.079,178.378,95.064
2013 Q4,101.603,75.738,175.541,94.604
2014 Q1,101.627,75.733,141.216,95.673
2014 Q2,101.811,77.060,129.122,94.522
2014 Q3,101.751,77.788,115.878,94.737
2014 Q4,101.139,78.080,101.595,96.147
2015 Q1,100.453,77.194,138.182,98.152
2015 Q2,100.712,76.957,96.405,98.306
2015 Q3,100.666,76.806,68.703,98.633
2015 Q4,99.410,75.595,65.405,98.386
2016 Q1,99.349,75.019,76.405,98.515
2016 Q2,99.279,74.838,80.189,97.654
2016 Q3,100.073,74.875,88.257,98.347
2016 Q4,100.205,74.988,90.588,98.592
2017 Q1,100.068,75.261,70.000,98.906
2017 Q2,100.779,76.054,65.743,100.325
2017 Q3,99.423,75.789,65.878,100.196
2017 Q4,99.709,77.071,63.446,100.524
2018 Q1,100.407,77.963,49.622,100.951
2018 Q2,100.804,78.805,61.541,99.980
2018 Q3,99.963,79.090,53.919,99.963
2018 Q4,99.632,79.081,49.378,100.433
2019 Q1,97.742,77.677,43.358,101.432
2019 Q2,96.681,77.016,39.405,100.145
2019 Q3,96.120,76.574,42.811,99.031
2019 Q4,96.457,75.986,42.128,100.949
2020 Q1,96.100,74.164,48.784,101.966
2020 Q2,91.627,60.968,73.297,110.397
2020 Q3,99.692,71.968,91.459,104.381
2020 Q4,99.298,73.462,70.818,106.625
2021 Q1,98.464,74.019,93.365,106.047
2021 Q2,97.593,74.132,104.926,106.177
2021 Q3,97.010,75.059,73.257,102.582
2021 Q4,97.115,76.271,68.284,102.572
2022 Q1,96.400,76.968,66.446,100.063
2022 Q2,96.919,77.769,44.189,98.283
2022 Q3,96.168,77.890,46.919,98.738
2022 Q4,95.624,77.195,35.135,97.671
2023 Q1,95.038,76.929,34.622,97.409
2023 Q2,96.059,77.092,43.236,99.150
2023 Q3,95.208,76.889,37.034,99.376
2023 Q4,95.206,76.085,44.196,100.744
2024 Q1,95.394,75.808,40.635,101.738
2024 Q2,95.135,75.565,36.135,98.675
2024 Q3,95.259,74.652,48.473,99.052
2024 Q4,95.015,73.732,55.811,99.403
